City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,yatou,37.15,122.3833,282.77,32,0,1.34,CN,1680384835
229,touros,-5.1989,-35.4608,299.92,78,99,5.32,BR,1680384835
230,yining,29.0361,114.5636,287.6,86,0,1.11,CN,1680384835
231,cap malheureux,-19.9842,57.6142,298.41,77,4,5.19,MU,1680384835
232,zhigansk,66.7697,123.3711,249.77,99,95,6.12,RU,1680384836
233,bandarbeyla,9.4942,50.8122,300.17,71,21,1.28,SO,1680384836
234,fortuna,40.5982,-124.1573,283.67,92,100,0.89,US,1680384652
235,skvyra,49.7318,29.6657,282.33,85,100,3.57,UA,1680384836
236,porto nacional,-10.7081,-48.4172,301.15,88,86,1.7,BR,1680384836
237,fengcheng,40.4536,124.0717,282.43,33,0,1.62,CN,1680384836
238,mindyak,54.0231,58.7891,271.99,89,99,0.46,RU,1680384837
239,mbeya,-8.9,33.45,288.07,97,96,1.87,TZ,1680384837
240,hasaki,35.7333,140.8333,286.6,56,62,6.44,JP,1680384559
241,husavik,66.0449,-17.3389,273.37,78,2,6.69,IS,1680384838
242,progreso,21.2833,-89.6667,308.77,74,15,8.52,MX,1680384838
243,manati,18.4275,-66.4921,300.87,71,10,7.86,PR,1680384709
244,port blair,11.6667,92.75,298.17,88,40,1.03,IN,1680384838
245,chapleau,47.8405,-83.4034,270.2,31,20,7.2,CA,1680384838
246,dakar,14.6937,-17.4441,300.64,66,0,3.93,SN,1680384461
247,shache,38.4167,77.2406,286.42,28,95,1.39,CN,1680384839
248,dwarka,22.2394,68.9678,297.5,72,3,4.93,IN,1680384839
249,avera,33.194,-82.5271,300.03,45,99,7.67,US,1680384839
250,karratha,-20.7377,116.8463,299.97,75,73,2.27,AU,1680384839
251,caudry,50.1249,3.4119,280.77,95,100,6.3,FR,1680384583
252,koshurnikovo,54.1667,93.3,255.89,91,7,1.08,RU,1680384840
253,portland,45.5234,-122.6762,283.42,83,75,4.47,US,1680384743
254,havre-saint-pierre,50.2334,-63.5986,273.35,86,100,5.66,CA,1680384840
255,ixtapa,20.7,-105.2,297.72,73,75,6.69,MX,1680384840
256,iaciara,-14.0958,-46.6317,299.75,48,31,0.83,BR,1680384841
257,eura,61.1333,22.1333,270.03,95,8,1.92,FI,1680384841
258,sao joao da barra,-21.6403,-41.0511,301.2,86,87,2.47,BR,1680384841
259,hobyo,5.3505,48.5268,301.62,76,82,5.79,SO,1680384841
260,piacabucu,-10.4056,-36.4344,298.95,79,100,3.34,BR,1680384841
261,bideford,51.0179,-4.2046,282.21,86,32,6.52,GB,1680384842
262,kruisfontein,-34.0033,24.7314,287.98,75,0,2.06,ZA,1680384842
263,maniitsoq,65.4167,-52.9,266.61,54,66,3.15,GL,1680384842
264,jalu,29.0331,21.5482,293.36,18,0,4.05,LY,1680384843
265,leh,34.1667,77.5833,268.39,87,94,2.82,IN,1680384843
266,pemangkat,1.1667,108.9667,298.35,83,84,1.63,ID,1680384843
267,cabedelo,-6.9811,-34.8339,301.52,76,100,4.86,BR,1680384843
268,baie-saint-paul,47.4411,-70.4986,276.52,87,100,0.92,CA,1680384843
269,morro bay,35.3658,-120.8499,294.48,56,6,5.68,US,1680384672
